Number,Short description,Assignment group,Issue Tag,Codes,TICKET_PROBLEM_TKTNOTE_ORIG,traincolumn
INC0004038063,job erp-c-cga-fi-zfi-bcm-status-aero-bnp failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-CGA-FI-ZFI-BCM-STATUS-AERO-BNP FAILURE Code 5 , job erp c cga fi zfi bcm status aero bnp failure code nembor
INC0004035826,action completed:approval hierarchy:sap( brp): approver hierarchy change,SAP Security (TCS),,42,Action completed:Approval hierarchy:SAP( BRP): Approver Hierarchy change, action completed approval hierarchy sap brp approver hierarchy change
INC0004039496,job erp-c-hcc-bas-sap-rsicfdlt failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-HCC-BAS-SAP-RSICFDLT FAILURE Code 5 , job erp c hcc bas sap rsicfdlt failure code nembor
INC0004038228,"web channela , medium , <<pmt>> , e491092",SAP Web Channel Support (NTT Data),Order/Doc Stuck Failure,43,"WEB CHANNELA , MEDIUM , <<PMT>> , E491092", web channela medium pmt e4 10 2
INC0004036886,job byp-c-cpscsem1800071 failure code #nembor#,SAP App Batch Run - HBT/SPS (NTT Data),Job Failure,14,JOB BYP-C-CPSCSEM1800071 FAILURE Code 1 , job byp c cpscsem18000 1 failure code nembor
INC0004040361,sap : pmt : elster p11 sap application : inventory / warehousing,SAP App Logistics Run (NTT Data),,26,SAP : PMT : Elster P11 SAP Application : Inventory / Warehousing, sap pmt elster p11 sap application inventory warehousing
INC0004039579,"customer servicea , medium , <<pmt>> , e319760",SAP App FICO Run (NTT Data),,21,"CUSTOMER SERVICEA , MEDIUM , <<PMT>> , E319760", customer servicea medium pmt e31 60
INC0004038765,"supply chain , medium,aero,e721437",SAP App Logistics Run (NTT Data),,26,"SUPPLY CHAIN , MEDIUM,AERO,E721437", supply chain medium aero e 2143
INC0004035229,"order managementp , medium,pmt,e347719",SAP App Order Mgmt Run (NTT Data),,28,"ORDER MANAGEMENTP , MEDIUM,PMT,E347719", order managementp medium pmt e34 1
INC0004035763,job erp-c-cga-fi-zfi-bcm-status-aero-bnp failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-CGA-FI-ZFI-BCM-STATUS-AERO-BNP FAILURE Code 5 , job erp c cga fi zfi bcm status aero bnp failure code nembor
INC0004040350,job erp-c-cga-fi-zfi-bcm-status-aero-bnp failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-CGA-FI-ZFI-BCM-STATUS-AERO-BNP FAILURE Code 5 , job erp c cga fi zfi bcm status aero bnp failure code nembor
INC0004035103,job brp-c-cpsfiem00011bankclr1 failure code #nembor#,SAP App Batch Run - HBT/SPS (NTT Data),Job Failure,14,JOB BRP-C-CPSFIEM00011BANKCLR1 FAILURE Code 1 , job brp c cpsfiem00011bankclr1 failure code nembor
INC0004041356,sap-cost center assessment - entity #nembor#,SAP App FICO Run (NTT Data),,21,SAP-Cost Center Assessment - Entity 3736, sap cost center assessment entity nembor
INC0004038863,job erp-c-cga-fi-zfi-bcm-status-aero-bnp failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-CGA-FI-ZFI-BCM-STATUS-AERO-BNP FAILURE Code 5 , job erp c cga fi zfi bcm status aero bnp failure code nembor
INC0004036977,sap : aero : application module issue : manufacturing/ planning & scheduling,SAP App Manufacturing Run (NTT Data),,27,SAP : AERO : Application or Module issue : Manufacturing/ Planning & Scheduling, sap aero application module issue manufacturing planning scheduling
INC0004038742,sap : pmt : pmt sap application : order management,SAP App FICO Run (NTT Data),Invoice Issues,21,SAP : PMT : PMT SAP Application : Order Management, sap pmt pmt sap application order management
INC0004038547,sps : oracle application : intelligrated : application issue,IGS Oracle Support,Account Locked/Password Reset,7,SPS : Oracle Application : INTELLIGRATED  : Application Issue, sps oracle application intelligrated application issue
INC0004035205,job erp-c-cga-fi-zfi-bcm-status-aero-bnp failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-CGA-FI-ZFI-BCM-STATUS-AERO-BNP FAILURE Code 5 , job erp c cga fi zfi bcm status aero bnp failure code nembor
INC0004039307,sap : aero : application module issue : quality management,SAP App Quality Mgmt Run (NTT Data),,30,SAP : AERO : Application or Module issue : Quality Management, sap aero application module issue quality management
INC0004038920,job erp-c-hts-sd-hts_hipi_lms_inv_post failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-HTS-SD-HTS_HIPI_LMS_INV_POST FAILURE Code 2 , job erp c hts sd hts hipi lms inv post failure code nembor
INC0004038262,job erp-c-hts-hr-movi_timesheet_v2_hour_m alarm maxrunalarm code,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-HTS-HR-MOVI_TIMESHEET_V2_HOUR_M ALARM  MAXRUNALARM Code  , job erp c hts hr movi timesheet v2 hour m alarm maxrunalarm code
INC0004040852,"project systemsa , medium , <<hbt>> , h313362",SAP App PS Project Systems Run (NTT Data),,29,"PROJECT SYSTEMSA , MEDIUM , <<HBT>> , H313362", project systemsa medium hbt h313362
INC0004038298,sap unlock/ password reset - hbt brp,Service Desk (US:GBL),Account Locked/Password Reset,47,SAP Unlock/ Password Reset - HBT BRP, sap unlock password reset hbt brp
INC0004037544,job erp-c-hts-sec-check-for-users-with-nprd-roles failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-HTS-SEC-CHECK-FOR-USERS-WITH-NPRD-ROLES FAILURE Code 16 , job erp c hts sec check for users with nprd roles failure code nembor
INC0004038643,job brp-c-cpsfiem00000grirclr104 failure code #nembor#,SAP App Batch Run - HBT/SPS (NTT Data),Job Failure,14,JOB BRP-C-CPSFIEM00000GRIRCLR104 FAILURE Code 1 , job brp c cpsfiem00000grirclr104 failure code nembor
INC0004038767,sap: time card incomplete last week,SAP App Time Labor Capture Run (NTT Data),Leaves Issue,37,SAP: Time Card Incomplete for Last Week, sap time card incomplete last week
INC0004036673,job aup-ci-c-fi_ivalua_pay_inf alarm maxrunalarm code,SAP App Batch Support (NTT Data),Job Failure,16,JOB AUP-CI-C-FI_IVALUA_PAY_INF ALARM  MAXRUNALARM Code  , job aup ci c fi ivalua pay inf alarm maxrunalarm code
INC0004040840,job erp-c-hts-sd-hts_hipi_lms_inv_post failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-HTS-SD-HTS_HIPI_LMS_INV_POST FAILURE Code 2 , job erp c hts sd hts hipi lms inv post failure code nembor
INC0004036408,pmt/p11/prod/user access/sap : pmt : access security issue : elster emea p11; grc #nembor#,SAP Security (TCS),Access Request,42,PMT/P11/PROD/User Access/SAP : PMT : Access or Security Issue : Elster EMEA P11; GRC#9000160216 , pmt p11 prod user access sap pmt access security issue elster emea p11 grc nembor
INC0004037562,job erp-c-cga-fi-zfi-bcm-status-aero-bnp failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-CGA-FI-ZFI-BCM-STATUS-AERO-BNP FAILURE Code 5 , job erp c cga fi zfi bcm status aero bnp failure code nembor
INC0004035525,"technicalp , medium,pmt,h377082",SAP App FICO Run (NTT Data),,21,"TECHNICALP , MEDIUM,PMT,H377082", technicalp medium pmt h3 082
INC0004040353,factory calendar - z5 extension till #nembor#,SAP App Configuration (NTT Data),,19,Factory calendar - Z5 extension till 2026, factory calendar z5 extension till nembor
INC0004040558,job erp-c-cga-zfi-ivalua-pts-invoice alarm maxrunalarm code,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-CGA-ZFI-IVALUA-PTS-INVOICE ALARM  MAXRUNALARM Code  , job erp c cga zfi ivalua pts invoice alarm maxrunalarm code
INC0004037005,sap- arp #nembor#: drops cancelling,SAP App TECH Run (NTT Data),,35,SAP- ARP 900: Drops Cancelling, sap arp nembor drops cancelling
INC0004037113,"customer servicea , medium , <<pmt>> , e413820",SAP App Order Mgmt Run (NTT Data),,28,"CUSTOMER SERVICEA , MEDIUM , <<PMT>> , E413820", customer servicea medium pmt e413820
INC0004039549,sap : sps : sps apac legacy sap application : order management,SAP App Sourcing Run (NTT Data),,34,SAP : SPS : SPS APAC Legacy SAP Application : Order Management, sap sps sps apac legacy sap application order management
INC0004038890,job erp-c-hcc-bas-sap-collector-for-none-r3-stat failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-HCC-BAS-SAP-COLLECTOR-FOR-NONE-R3-STAT FAILURE Code 5 , job erp c hcc bas sap collector for none r3 stat failure code nembor
INC0004036027,ir system,IGS Custom Apps,,6,IR system, ir system
INC0004039877,job brp-c-cpsfina0000mufginv10 failure code #nembor#,SAP App Batch Run - HBT/SPS (NTT Data),Job Failure,14,JOB BRP-C-CPSFINA0000MUFGINV10 FAILURE Code 1 , job brp c cpsfina0000mufginv10 failure code nembor
INC0004037875,job erp-c-cga-fi-zfi-bcm-status-aero-bnp failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-CGA-FI-ZFI-BCM-STATUS-AERO-BNP FAILURE Code 5 , job erp c cga fi zfi bcm status aero bnp failure code nembor
INC0004038940,job brp-c-cpsrdem04850hellt231 failure code #nembor#,SAP App Batch Run - HBT/SPS (NTT Data),Job Failure,14,JOB BRP-C-CPSRDEM04850HELLT231 FAILURE Code 1 , job brp c cpsrdem04850hellt231 failure code nembor
INC0004039873,job brp-c-cpsfina0000mufginv14 failure code #nembor#,SAP App Batch Run - HBT/SPS (NTT Data),Job Failure,14,JOB BRP-C-CPSFINA0000MUFGINV14 FAILURE Code 1 , job brp c cpsfina0000mufginv14 failure code nembor
INC0004038668,job brp-c-cpsfina00003cjb11 failure code #nembor#,SAP App Batch Run - HBT/SPS (NTT Data),Job Failure,14,JOB BRP-C-CPSFINA00003CJB11 FAILURE Code 1 , job brp c cpsfina00003cjb11 failure code nembor
INC0004039533,job brp-c-cpsoc-cust-delta-emea2 failure code #nembor#,SAP App Batch Run - HBT/SPS (NTT Data),Job Failure,14,JOB BRP-C-CPSOC-CUST-DELTA-EMEA2 FAILURE Code 1 , job brp c cpsoc cust delta emea2 failure code nembor
INC0004037485,job erp-c-hcc-bas-sap-soap-runtime-management failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-HCC-BAS-SAP-SOAP-RUNTIME-MANAGEMENT FAILURE Code 5 , job erp c hcc bas sap soap runtime management failure code nembor
INC0004038022,sap : hbt : application module issue : crm,SAP App CRM Run  (NTT Data),Order/Doc Stuck Failure,17,SAP : HBT : Application or Module issue : CRM, sap hbt application module issue crm
INC0004036892,job urp-ci-c-interco_idoc_dly1 failure code #nembor#,SAP App Batch Run - PMT (NTT Data),Job Failure,15,JOB URP-CI-C-INTERCO_IDOC_DLY1 FAILURE Code 2 , job urp ci c interco idoc dly1 failure code nembor
INC0004040534,tss_ot - s_partfamily_flatfile_elec session failed - servigistics sap production (arp),SAP App SVG Run (NTT Data),Job Failure,32,TSS_OT - s_PartFamily_FlatFile_ELEC  Session Failed - Servigistics SAP Production (ARP), tss ot s partfamily flatfile elec session failed servigistics sap production arp
INC0004038852,job erp-c-cga-fi-zfi-bcm-status-aero-bnp failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-CGA-FI-ZFI-BCM-STATUS-AERO-BNP FAILURE Code 5 , job erp c cga fi zfi bcm status aero bnp failure code nembor
INC0004035193,job erp-c-hcc-bas-sap-ccms-moni-batch-dp failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-HCC-BAS-SAP-CCMS-MONI-BATCH-DP FAILURE Code 5 , job erp c hcc bas sap ccms moni batch dp failure code nembor
INC0004036020,job erp-c-cga-fi-zfi-bcm-status-aero-bnp failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-CGA-FI-ZFI-BCM-STATUS-AERO-BNP FAILURE Code 5 , job erp c cga fi zfi bcm status aero bnp failure code nembor
INC0004038614,job brp-c-cpsfiem00000apclr108 failure code #nembor#,SAP App Batch Run - HBT/SPS (NTT Data),Job Failure,14,JOB BRP-C-CPSFIEM00000APCLR108 FAILURE Code 1 , job brp c cpsfiem00000apclr108 failure code nembor
INC0004035541,job erp-c-hcc-bas-sap-ccms-moni-batch-dp failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-HCC-BAS-SAP-CCMS-MONI-BATCH-DP FAILURE Code 5 , job erp c hcc bas sap ccms moni batch dp failure code nembor
INC0004041244,sap: leave balance issue,SAP App HR Run (NTT Data),Leaves Issue,25,SAP: leave balance issue, sap leave balance issue
INC0004037799,need pdf documents audit,SAP App FICO Run (NTT Data),,21,need pdf documents for audit, need pdf documents audit
INC0004040714,sap : pmt : pmt sap application : interface/ xi/pi,SAP App TECH Run (NTT Data),Order/Doc Stuck Failure,35,SAP : PMT : PMT SAP Application : Interface/ XI/PI, sap pmt pmt sap application interface xi pi
INC0004036372,sap : pmt : pmt sap application : manufacturing/ planning & scheduling,SAP App Order Mgmt Run (NTT Data),,28,SAP : PMT : PMT SAP Application : Manufacturing/ Planning & Scheduling, sap pmt pmt sap application manufacturing planning scheduling
INC0004039944,job erp-c-cga-fi-zfi-bcm-status-aero-bnp failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-CGA-FI-ZFI-BCM-STATUS-AERO-BNP FAILURE Code 5 , job erp c cga fi zfi bcm status aero bnp failure code nembor
INC0004037523,sap : hbt : application module issue : sourcing,SAP App Sourcing Run (NTT Data),,34,SAP : HBT : Application or Module issue : Sourcing, sap hbt application module issue sourcing
INC0004038817,sps : oracle application : intelligrated : application issue,IGS Oracle Support,,7,SPS : Oracle Application : INTELLIGRATED  : Application Issue, sps oracle application intelligrated application issue
INC0004038769,job erp-c-hts-sd-hts_hipi_lms_inv_post failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-HTS-SD-HTS_HIPI_LMS_INV_POST FAILURE Code 2 , job erp c hts sd hts hipi lms inv post failure code nembor
INC0004040901,job erp-c-hcc-bas-sap-rsicfdlt failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-HCC-BAS-SAP-RSICFDLT FAILURE Code 5 , job erp c hcc bas sap rsicfdlt failure code nembor
INC0004035715,sap : credit poso failture,SAP App FICO Run (NTT Data),Invoice Issues,21,SAP : Credit POSO failture, sap credit poso failture
INC0004038973,job erp-c-hcc-bas-sap-ccms-moni-batch-dp failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-HCC-BAS-SAP-CCMS-MONI-BATCH-DP FAILURE Code 5 , job erp c hcc bas sap ccms moni batch dp failure code nembor
INC0004038003,job erp-c-cga-fi-zfi-bcm-status-aero-bnp failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-CGA-FI-ZFI-BCM-STATUS-AERO-BNP FAILURE Code 5 , job erp c cga fi zfi bcm status aero bnp failure code nembor
INC0004039096,job erp-c-hcc-bas-sap-rsicfdlt failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-HCC-BAS-SAP-RSICFDLT FAILURE Code 5 , job erp c hcc bas sap rsicfdlt failure code nembor
INC0004037179,job erp-c-hts-sd-hts_hipi_lms_inv_post failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-HTS-SD-HTS_HIPI_LMS_INV_POST FAILURE Code 2 , job erp c hts sd hts hipi lms inv post failure code nembor
INC0004039100,job erp-c-hcc-bas-sap-ccms-moni-batch-dp failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-HCC-BAS-SAP-CCMS-MONI-BATCH-DP FAILURE Code 5 , job erp c hcc bas sap ccms moni batch dp failure code nembor
INC0004039632,job erp-c-cga-fi-zfi-bcm-status-aero-bnp failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-CGA-FI-ZFI-BCM-STATUS-AERO-BNP FAILURE Code 5 , job erp c cga fi zfi bcm status aero bnp failure code nembor
INC0004035832,pmt : analytics : sap bw - pmt : application issue,Analytics SAPBW Run (NTT Data),,2,PMT : Analytics : SAP BW - PMT  : Application Issue, pmt analytics sap bw pmt application issue
INC0004036336,"order managementa , medium , <<pmt>> , h329997",SAP App FICO Run (NTT Data),,21,"ORDER MANAGEMENTA , MEDIUM , <<PMT>> , H329997", order managementa medium pmt h32
INC0004038918,job erp-c-hcc-bas-sap-reorg-abapdumps failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-HCC-BAS-SAP-REORG-ABAPDUMPS FAILURE Code 5 , job erp c hcc bas sap reorg abapdumps failure code nembor
INC0004035954,job erp-c-cga-fi-zfi-bcm-status-aero-bnp failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-CGA-FI-ZFI-BCM-STATUS-AERO-BNP FAILURE Code 5 , job erp c cga fi zfi bcm status aero bnp failure code nembor
INC0004037832,sps : oracle application : intelligrated : application issue,IGS Oracle Support,,7,SPS : Oracle Application : INTELLIGRATED  : Application Issue, sps oracle application intelligrated application issue
INC0004037883,sps : oracle application : intelligrated : application issue,IGS Oracle Support,,7,SPS : Oracle Application : INTELLIGRATED  : Application Issue, sps oracle application intelligrated application issue
INC0004035190,pmt : analytics : sap bw - pmt : application issue,Analytics SAPBW Run (NTT Data),,2,PMT : Analytics : SAP BW - PMT  : Application Issue, pmt analytics sap bw pmt application issue
INC0004036370,sap ticket: e432323,SAP App Order Mgmt Run (NTT Data),,28,SAP Ticket: E432323, sap ticket e432323
INC0004038078,sap : pmt : hps - sap application : customer service,SAP App FICO Run (NTT Data),Posting Issue,21,SAP : PMT : HPS - SAP Application : Customer Service, sap pmt hps sap application customer service
INC0004035681,sap : pmt : pmt sap application : finance,SAP App FICO Run (NTT Data),,21,SAP : PMT : PMT SAP Application : Finance, sap pmt pmt sap application finance
INC0004038377,job erp-c-hcc-bas-sap-collector-for-none-r3-stat failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-HCC-BAS-SAP-COLLECTOR-FOR-NONE-R3-STAT FAILURE Code 5 , job erp c hcc bas sap collector for none r3 stat failure code nembor
INC0004038816,sap : close po,SAP App Sourcing Run (NTT Data),PO Short Closure Request,34,SAP : close PO, sap close po
INC0004038143,"time & attendancec , medium,corp,h390979",SAP App PS Project Systems Run (NTT Data),Timesheet Issue,29,"TIME & ATTENDANCEC , MEDIUM,CORP,H390979", time attendancec medium corp h3 0
INC0004038105,sap : pmt : pmt sap application : finance,SAP App FICO Run (NTT Data),Auto Billing Failure,21,SAP : PMT : PMT SAP Application : Finance, sap pmt pmt sap application finance
INC0004038907,job erp-c-cga-fi-zfi-bcm-status-aero-bnp failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-CGA-FI-ZFI-BCM-STATUS-AERO-BNP FAILURE Code 5 , job erp c cga fi zfi bcm status aero bnp failure code nembor
INC0004038593,job erp-c-cga-fi-zfi-bcm-status-aero-bnp failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-CGA-FI-ZFI-BCM-STATUS-AERO-BNP FAILURE Code 5 , job erp c cga fi zfi bcm status aero bnp failure code nembor
INC0004038691,job erp-c-hcc-bas-sap-soap-runtime-management failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-HCC-BAS-SAP-SOAP-RUNTIME-MANAGEMENT FAILURE Code 5 , job erp c hcc bas sap soap runtime management failure code nembor
INC0004035805,sap : pmt : pmt sap application : interface/ xi/pi,SAP App Logistics Run (NTT Data),,26,SAP : PMT : PMT SAP Application : Interface/ XI/PI, sap pmt pmt sap application interface xi pi
INC0004039247,sap -auto printing setting ( billing document),SAP App Order Mgmt Run (NTT Data),Unable To Print,28,SAP -Auto Printing Setting ( billing document), sap auto printing setting billing document
INC0004038370,job erp-c-cga-fi-zfi-bcm-status-aero-bnp failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-CGA-FI-ZFI-BCM-STATUS-AERO-BNP FAILURE Code 5 , job erp c cga fi zfi bcm status aero bnp failure code nembor
INC0004041273,job bwp-c-cpsbiap010201 failure code #nembor#,Analytics Batch Run (NTT Data),Job Failure,0,JOB BWP-C-CPSBIAP010201 FAILURE Code 1 , job bwp c cpsbiap010201 failure code nembor
INC0004035114,job erp-c-cga-fi-zfi-bcm-status-aero-bnp failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-CGA-FI-ZFI-BCM-STATUS-AERO-BNP FAILURE Code 5 , job erp c cga fi zfi bcm status aero bnp failure code nembor
INC0004039152,job erp-c-cga-fi-zfi-bcm-status-aero-bnp failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-CGA-FI-ZFI-BCM-STATUS-AERO-BNP FAILURE Code 5 , job erp c cga fi zfi bcm status aero bnp failure code nembor
INC0004038814,sap : aero : application module issue : logistics,SAP App Logistics Run (NTT Data),,26,SAP : AERO : Application or Module issue : Logistics, sap aero application module issue logistics
INC0004035967,sap : pmt : pmt sap application : finance,SAP App FICO Run (NTT Data),Auto Billing Failure,21,SAP : PMT : PMT SAP Application : Finance, sap pmt pmt sap application finance
INC0004038799,job erp-c-hcc-bas-sap-collector-for-none-r3-stat failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-HCC-BAS-SAP-COLLECTOR-FOR-NONE-R3-STAT FAILURE Code 5 , job erp c hcc bas sap collector for none r3 stat failure code nembor
INC0004036799,job erp-c-cga-fi-zfi-bcm-status-aero-bnp failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-CGA-FI-ZFI-BCM-STATUS-AERO-BNP FAILURE Code 5 , job erp c cga fi zfi bcm status aero bnp failure code nembor
INC0004041212,sap:furlough data,SAP App HR Run (NTT Data),,25,SAP:Furlough Data, sap furlough data
INC0004037049,job erp-c-hts-sd-hts_hipi_lms_inv_post failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-HTS-SD-HTS_HIPI_LMS_INV_POST FAILURE Code 2 , job erp c hts sd hts hipi lms inv post failure code nembor
INC0004035093,"supply chaina , medium , <<hbt>> , h352343",SAP App Logistics Run (NTT Data),,26,"SUPPLY CHAINA , MEDIUM , <<HBT>> , H352343", supply chaina medium hbt h352343
INC0004037222,job erp-c-cga-fi-zfi-bcm-status-aero-bnp failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-CGA-FI-ZFI-BCM-STATUS-AERO-BNP FAILURE Code 5 , job erp c cga fi zfi bcm status aero bnp failure code nembor
INC0004038875,job erp-c-hcc-bas-eu-put failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-HCC-BAS-EU-PUT FAILURE Code 5 , job erp c hcc bas eu put failure code nembor
INC0004038812,time work bench (twb)- access required,SAP Security (AERO:TCS),Access Request,41,Time Work Bench (TWB)- Access required, time work bench twb access required
INC0004035286,job erp-c-hcc-bas-sap-collector-for-none-r3-stat failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-HCC-BAS-SAP-COLLECTOR-FOR-NONE-R3-STAT FAILURE Code 5 , job erp c hcc bas sap collector for none r3 stat failure code nembor
INC0004039116,job erp-c-hts-sd-hts_hipi_lms_inv_post failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-HTS-SD-HTS_HIPI_LMS_INV_POST FAILURE Code 2 , job erp c hts sd hts hipi lms inv post failure code nembor
INC0004036675,sap : sps : sap brp application : crm,SAP App CRM Run  (NTT Data),,17,SAP : SPS : SAP BRP Application : CRM, sap sps sap brp application crm
INC0004038809,job erp-c-cga-fi-zfi-bcm-status-aero-bnp failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-CGA-FI-ZFI-BCM-STATUS-AERO-BNP FAILURE Code 5 , job erp c cga fi zfi bcm status aero bnp failure code nembor
INC0004039144,job erp-c-hcc-bas-sap-collector-for-none-r3-stat failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-HCC-BAS-SAP-COLLECTOR-FOR-NONE-R3-STAT FAILURE Code 5 , job erp c hcc bas sap collector for none r3 stat failure code nembor
INC0004034997,az18 - job cancelled-please create sev #nembor# ticket,SAP App Batch Run - AERO (NTT Data),Job Cancelled,12,AZ18 - Job Cancelled-Please Create SEV-2 Ticket, az18 job cancelled please create sev nembor ticket
INC0004037398,sap: password reset,Service Desk (APAC:GBL),Account Locked/Password Reset,44,SAP: password reset, sap password reset
INC0004038157,job erp-c-hcc-bas-sap-ccms-moni-batch-dp failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-HCC-BAS-SAP-CCMS-MONI-BATCH-DP FAILURE Code 5 , job erp c hcc bas sap ccms moni batch dp failure code nembor
INC0004035345,"technicalp , medium,pmt,h187712",SAP App FICO Run (NTT Data),,21,"TECHNICALP , MEDIUM,PMT,H187712", technicalp medium pmt h18 12
INC0004041315,sap: password reset request,SAP App Rapid Response Run (NTT Data),Account Locked/Password Reset,31,SAP: Password Reset Request, sap password reset request
INC0004036459,pmt : analytics : sap bw - pmt : application issue,Analytics SAPBW Run (NTT Data),,2,PMT : Analytics : SAP BW - PMT  : Application Issue, pmt analytics sap bw pmt application issue
INC0004037164,sap brp: gdw backlog data,SAP App Order Mgmt Run (NTT Data),,28,SAP BRP: GDW backlog data, sap brp gdw backlog data
INC0004039390,pmt : engineering : hempdm #nembor# #nembor# prod pmt pmt : application issue,SAP App Sourcing Run (NTT Data),,34,PMT : Engineering : HEMPDM 1.0 PROD PMT PMT  : Application Issue, pmt engineering hempdm nembor nembor prod pmt pmt application issue
INC0004035571,job erp-c-hts-sd-hts_hipi_lms_inv_post failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-HTS-SD-HTS_HIPI_LMS_INV_POST FAILURE Code 2 , job erp c hts sd hts hipi lms inv post failure code nembor
INC0004040373,"finance controllinga , medium , <<hbt>> , e392307",SAP Security (TCS),Access Request,42,"FINANCE AND CONTROLLINGA , MEDIUM , <<HBT>> , E392307", finance controllinga medium hbt e3 230
INC0004039759,job erp-c-hts-sd-hts_hipi_lms_inv_post failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-HTS-SD-HTS_HIPI_LMS_INV_POST FAILURE Code 2 , job erp c hts sd hts hipi lms inv post failure code nembor
INC0004037218,delay manager approval - elster/eep300/prod: access --sap : pmt : access security issue : elster americas gas -eep,SAP Security (TCS),Access Request,42,Delay Manager Approval - Elster/EEP300/PROD: Access --SAP : PMT : Access or Security Issue : Elster Americas Gas -EEP, delay manager approval elster eep300 prod access sap pmt access security issue elster americas gas eep
INC0004037214,"supply chain , medium,aero,e556489",SAP App Logistics Run (NTT Data),,26,"SUPPLY CHAIN , MEDIUM,AERO,E556489", supply chain medium aero e55648
INC0004038908,"market , medium,aero,e551313",SAP App CS Run (NTT Data),,18,"AFTER MARKET , MEDIUM,AERO,E551313", market medium aero e551313
INC0004041220,monthly mtoe report,SAP App GRC Run (NTT Data),,22,Monthly MTOE report, monthly mtoe report
